Group,Code,en
Admin Xlations,Admin.Bet_Search.FIELDED_BETS,Fielded bets
Admin Xlations,Admin.Bet_Search.FIND_BETS_BUTTON,Find Bets
Admin Xlations,Admin.Bet_Search.HEDGED_BETS,Hedged Bets
Admin Xlations,Admin.Bet_Search.IBALL_DRAW_NR,Draw Number
Admin Xlations,Admin.Bet_Search.INCLUDE_VOID_BETS,Include void bets
Admin Xlations,Admin.Bet_Search.LATEST_SELN,Latest selection
Admin Xlations,Admin.Bet_Search.LBO_ACCOUNT,LBO account
Admin Xlations,Admin.Bet_Search.LOGIN_RESTRICTED_STATUS_FLAG,LOGIN restricted Status Flag
Admin Xlations,Admin.Bet_Search.MANUALLY_SETTLED,Manually
Admin Xlations,Admin.Bet_Search.MANUAL_BET,Manual
Admin Xlations,Admin.Bet_Search.MEETING,Meeting
Admin Xlations,Admin.Bet_Search.MONITOR_BETS_STATUS_FLAG,MONITOR Bets Status Flag
Admin Xlations,Admin.Bet_Search.MOST_RECENT_STLD_SELN,Most recently settled selection
Admin Xlations,Admin.Bet_Search.NOTE_NORMAL,normal
Admin Xlations,Admin.Bet_Search.NOT_SETTLED,Not settled
Admin Xlations,Admin.Bet_Search.NO_PMT_GWAY_CONN,No payment gateway connection
Admin Xlations,Admin.Bet_Search.ONLY_FOR_SYS_PRICE_OVERRIDES,Only available for &apos;System Price&apos; Overrides
Admin Xlations,Admin.Bet_Search.ORDER_BY_BET_WITH,Order by bet with
Admin Xlations,Admin.Bet_Search.OVERRIDE_DATE,Override Date
Admin Xlations,Admin.Bet_Search.OVERRIDE_MAX_BET_AMOUNT,Override the maximum bet amount for selections
Admin Xlations,Admin.Bet_Search.OVERRIDE_MIN_BET_AMOUNT,Override the minimum bet amount for selections
Admin Xlations,Admin.Bet_Search.OVERRIDE_TYPE,Override type
Admin Xlations,Admin.Bet_Search.PMT_REFERRAL,Payment Referral
Admin Xlations,Admin.Bet_Search.POOL_TYPE,Pool type
Admin Xlations,Admin.Bet_Search.RECEIPT_LIKE,Receipt like
Admin Xlations,Admin.Bet_Search.RESTRICTED_BETTING_TO_SUPERVISOR_FLAG,RESTRICTED Betting to supervisors Status Flag
Admin Xlations,Admin.Bet_Search.RETRO_BETS,Retrospective Bets
Admin Xlations,Admin.Bet_Search.RETRO_BETS_OVERRIDE,Retrospective Bets (Override)
Admin Xlations,Admin.Bet_Search.SETTLED,Settled
Admin Xlations,Admin.Bet_Search.SETTLED_DATE_BETWEEN,Settled date between
Admin Xlations,Admin.Bet_Search.SETTLEMENT,Settlement
Admin Xlations,Admin.Bet_Search.SETTLEMENT_DATE_BETWEEN,Settlement date between
Admin Xlations,Admin.Bet_Search.SETTLEMENT_EXPECTED_BETWEEN,Settlement expected between
Admin Xlations,Admin.Bet_Search.SHOP_NUMBER,Shop Number
Admin Xlations,Admin.Bet_Search.STAKE_BETWEEN,Stake between
Admin Xlations,Admin.Bet_Search.SYSTEM_PRICE,System Price
Admin Xlations,Admin.Bet_Search.UNIT_STAKE_BETWEEN,Unit stake between
Admin Xlations,Admin.Bet_Search.UNVETTED_MAN_BET_DESCS,Unvetted manual<br > bet descriptions
Admin Xlations,Admin.Bet_Search.USERNAME_LIKE,Username like
Admin Xlations,Admin.Bet_Search.WINNINGS_BETWEEN,Winnings between
Admin Xlations,Admin.Bet_Search.WINNINGS_GREATER_THAN,Winnings greater than
Admin Xlations,Admin.Bet_Search.WTD_BLOCKED_FLAG,WITHDRAWALS blocked Status Flag
Admin Xlations,Admin.Bet_Search.XGAME_COMP_NO,Competition Number
Admin Xlations,Admin.Bet_Search.XGAME_SORT,Sort
Admin Xlations,Admin.Bet_Summ.CHANNELS,Channels
Admin Xlations,Admin.Bet_Summ.CUMULATED,Cumulated
Admin Xlations,Admin.Bet_Summ.DETAILED_BREAKDOWN_BY,Detailed breakdown by
Admin Xlations,Admin.Bet_Summ.NUM_BETS,Num Bets
Admin Xlations,Admin.Bet_Summ.RETURNS,Returns
Admin Xlations,Admin.Bet_Summ.SPORT,Sport
